date,city,temperature
01.01.2022,Екатеринбург,−13.2
01.01.2022,Москва,−6.7
01.01.2022,Ереван,−1.8
01.02.2022,Екатеринбург,−10.4
01.02.2022,Москва,−6.1
01.02.2022,Ереван,2.9
01.03.2022,Екатеринбург,−3.8
01.03.2022,Москва,−0.9
01.03.2022,Ереван,7.8
01.04.2022,Екатеринбург,4.5
01.04.2022,Москва,6.8
01.04.2022,Ереван,13.5
01.05.2022,Екатеринбург,12.3
01.05.2022,Москва,13.3
01.05.2022,Ереван,17.8
01.06.2022,Екатеринбург,15.9
01.06.2022,Москва,17.2
01.06.2022,Ереван,24.4
01.07.2022,Екатеринбург,17.8
01.07.2022,Москва,20
01.07.2022,Ереван,27.4
01.08.2022,Екатеринбург,16.9
01.08.2022,Москва,17.9
01.08.2022,Ереван,26.8
01.09.2022,Екатеринбург,9.6
01.09.2022,Москва,11.8
01.09.2022,Ереван,21.9
01.10.2022,Екатеринбург,2.7
01.10.2022,Москва,5.9
01.10.2022,Ереван,14.3
01.11.2022,Екатеринбург,−6.3
01.11.2022,Москва,−0.1
01.11.2022,Ереван,6.3
01.12.2022,Екатеринбург,−10.8
01.12.2022,Москва,−4.4
01.12.2022,Ереван,1.8